int64_field_0,player_name,teamId,gamesPlayed,points,goals,twoPointGoals,assists,powerPlayGoals,shortHandedGoals,pim,shots,twoPointShots,shotsOnGoal,twoPointShotsOnGoal,SOFF,groundBalls,faceoffs,faceoffsWon,faceoffsLost,turnovers,causedTurnovers,goalsAgainst,GAA,twoPointGoalsAgainst,twoPtGaa,saves,numPenalties,savePct,goalieWins,goalieLosses,goalieTies,gamesStarted,tof,statLeague,seasonSegment
183,Kyle McClancy,WAT,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
224,Kylor Bellistri,RED,2,1,0,0,1,0,0,0,4,0,3,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
226,Larken Kemp,RED,6,1,1,0,0,0,0,0,1,0,1,0,0,8,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
198,Matt DeLuca,WAT,5,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,2,19,15.35353535,1,0.8080808081,27,0,0.5869565217,0,0,0,2,3564,PLL,regular
102,Joey Sankey,ARC,3,6,2,0,4,0,0,0,12,0,6,0,6,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,PLL,post
127,Kyle Hartzell,ATL,2,0,0,0,0,0,0,0,1,1,0,0,1,5,13,4,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,post
163,Josh Byrne,CHA,7,20,13,0,7,1,0,1,44,2,28,2,16,8,0,0,0,8,6,0,0,0,0,0,2,0,0,0,0,7,0,PLL,regular
122,Jack Jasinski,OUT,5,9,6,0,3,0,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
83,Jack Jasinski,OUT,2,1,1,0,0,0,0,0,6,0,3,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
199,Matt Dunn,WHP,6,0,0,0,0,0,0,0,1,1,0,0,1,7,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6,0,PLL,regular
217,Kyle Hartzell,ATL,10,8,2,0,6,0,0,1,14,9,7,2,7,16,2,1,1,7,6,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
165,Justin Guterding,CHR,5,16,10,0,6,0,0,0,32,3,21,2,11,5,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,5,0,PLL,regular
138,Jack Jasinski,RAT,3,3,1,0,2,0,0,0,5,0,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
139,Jack Jasinski,OUT,7,11,8,1,2,0,0,1,34,0,22,0,12,10,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,MLL,regular
144,Matt Dunn,WHP,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,PLL,post
244,Matt Dunn,WHP,10,0,0,0,0,0,0,0,1,1,1,1,0,15,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
